Consigne.started,Consigne.stopped,Key_resp1.keys,Key_resp1.rt,Key_resp1.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,IMAGES.started,IMAGES.stopped,SAM.started,SAM.stopped,Plaisir.response,Plaisir.rt,EVEIL.response,EVEIL.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,ImagesDistracteursFile,Test,Calcul.started,Calcul.stopped,Key_response.keys,Key_response.rt,Key_response.duration,Consigne_reco.started,Consigne_reco.stopped,key_resp_reconn.keys,key_resp_reconn.rt,key_resp_reconn.duration,DISTRACTEURS.started,DISTRACTEURS.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,MERCI.started,MERCI.stopped
0,53.406,space,53.329,,842187,001,2025-03-31_11h38.47.672,Emotion.Memoire.2024,2024.1.5,MacIntel,19.60784314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842187,001,2025-03-31_11h38.47.672,Emotion.Memoire.2024,2024.1.5,MacIntel,19.60784314,53.418,63.426,63.431,87.66,3,11.515,5,24.227,0,0,0,0,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image6.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif10.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video1.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842187,001,2025-03-31_11h38.47.672,Emotion.Memoire.2024,2024.1.5,MacIntel,19.60784314,87.665,97.659,97.66,116.525,7,3.953,3,18.855,0,1,1,1,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image9.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NEUTRES/Dist.animee.neutre3.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NÉGATIFS/Dist.fix.negatif3.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842187,001,2025-03-31_11h38.47.672,Emotion.Memoire.2024,2024.1.5,MacIntel,19.60784314,116.526,126.525,126.526,137.226,2,5.707,5,10.698,0,2,2,2,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image3.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video2.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NÉGATIFS/Dist.fix.negatif5.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842187,001,2025-03-31_11h38.47.672,Emotion.Memoire.2024,2024.1.5,MacIntel,19.60784314,137.227,147.225,147.226,153.892,3,4.842,6,6.651,0,3,3,3,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image4.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image6.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842187,001,2025-03-31_11h38.47.672,Emotion.Memoire.2024,2024.1.5,MacIntel,19.60784314,153.892,163.892,163.893,172.525,2,1.685,6,8.62,0,4,4,4,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image10.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image2.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842187,001,2025-03-31_11h38.47.672,Emotion.Memoire.2024,2024.1.5,MacIntel,19.60784314,172.526,182.526,182.526,189.758,7,4.236,2,7.204,0,5,5,5,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video10.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre7.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842187,001,2025-03-31_11h38.47.672,Emotion.Memoire.2024,2024.1.5,MacIntel,19.60784314,189.759,199.758,199.759,211.091,3,7.437,3,11.307,0,6,6,6,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video4.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif4.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842187,001,2025-03-31_11h38.47.672,Emotion.Memoire.2024,2024.1.5,MacIntel,19.60784314,211.092,221.091,221.092,233.825,6,9.355,2,12.728,0,7,7,7,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image10.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image2.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842187,001,2025-03-31_11h38.47.672,Emotion.Memoire.2024,2024.1.5,MacIntel,19.60784314,233.825,243.725,243.725,247.724,2,1.603,6,3.997,0,8,8,8,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video1.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image9.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842187,001,2025-03-31_11h38.47.672,Emotion.Memoire.2024,2024.1.5,MacIntel,19.60784314,247.725,257.724,257.725,261.891,2,1.754,7,4.146,0,9,9,9,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image4.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842187,001,2025-03-31_11h38.47.672,Emotion.Memoire.2024,2024.1.5,MacIntel,19.60784314,261.892,271.891,271.891,277.791,7,2.391,2,5.869,0,10,10,10,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video6.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842187,001,2025-03-31_11h38.47.672,Emotion.Memoire.2024,2024.1.5,MacIntel,19.60784314,277.792,287.791,287.791,299.124,2,6.195,5,11.319,0,11,11,11,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video9.mp4,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842187,001,2025-03-31_11h38.47.672,Emotion.Memoire.2024,2024.1.5,MacIntel,19.60784314,299.125,309.124,309.125,313.458,7,2.603,2,4.307,0,12,12,12,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image8.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842187,001,2025-03-31_11h38.47.672,Emotion.Memoire.2024,2024.1.5,MacIntel,19.60784314,313.458,323.457,323.459,329.924,7,4.87,5,6.442,0,13,13,13,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video5.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NÉGATIFS/Dist.fix.negatif8.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842187,001,2025-03-31_11h38.47.672,Emotion.Memoire.2024,2024.1.5,MacIntel,19.60784314,329.925,339.924,339.925,347.09,7,4.603,3,7.153,0,14,14,14,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video1.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre2.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842187,001,2025-03-31_11h38.47.672,Emotion.Memoire.2024,2024.1.5,MacIntel,19.60784314,347.091,356.325,356.325,361.39,2,2.493,4,5.042,0,15,15,15,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video9.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NEUTRES/Dist.animee.neutre10.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842187,001,2025-03-31_11h38.47.672,Emotion.Memoire.2024,2024.1.5,MacIntel,19.60784314,361.391,370.262,370.263,377.223,2,4.169,5,6.932,0,16,16,16,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video8.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre5.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842187,001,2025-03-31_11h38.47.672,Emotion.Memoire.2024,2024.1.5,MacIntel,19.60784314,377.224,387.224,387.225,393.957,2,3.919,6,6.719,0,17,17,17,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image5.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NEUTRES/Dist.animee.neutre1.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842187,001,2025-03-31_11h38.47.672,Emotion.Memoire.2024,2024.1.5,MacIntel,19.60784314,393.958,403.957,403.958,410.491,7,3.26,2,6.529,0,18,18,18,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video2.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image5.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842187,001,2025-03-31_11h38.47.672,Emotion.Memoire.2024,2024.1.5,MacIntel,19.60784314,410.491,420.49,420.492,424.057,2,1.853,5,3.537,0,19,19,19,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video7.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image7.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842187,001,2025-03-31_11h38.47.672,Emotion.Memoire.2024,2024.1.5,MacIntel,19.60784314,424.057,448.337,448.337,464.224,7,14.049,2,15.88,0,20,20,20,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image5.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video10.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842187,001,2025-03-31_11h38.47.672,Emotion.Memoire.2024,2024.1.5,MacIntel,19.60784314,464.225,474.224,474.225,478.49,7,2.452,3,4.261,0,21,21,21,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video3.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video4.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842187,001,2025-03-31_11h38.47.672,Emotion.Memoire.2024,2024.1.5,MacIntel,19.60784314,478.491,488.49,488.491,492.457,3,2.31,5,3.945,0,22,22,22,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video5.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video5.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842187,001,2025-03-31_11h38.47.672,Emotion.Memoire.2024,2024.1.5,MacIntel,19.60784314,492.457,502.456,502.458,505.49,3,1.833,4,3.007,0,23,23,23,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video7.mp4,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video6.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
