Consigne.started,Consigne.stopped,Key_resp1.keys,Key_resp1.rt,Key_resp1.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,IMAGES.started,IMAGES.stopped,SAM.started,SAM.stopped,Plaisir.response,Plaisir.rt,EVEIL.response,EVEIL.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,ImagesDistracteursFile,Test,Calcul.started,Calcul.stopped,Key_response.keys,Key_response.rt,Key_response.duration,Consigne_reco.started,Consigne_reco.stopped,key_resp_reconn.keys,key_resp_reconn.rt,key_resp_reconn.duration,DISTRACTEURS.started,DISTRACTEURS.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran
0.0005,42.8758,space,42.7204,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,42.9157,52.8824,52.8831,69.3138,3,8.2916,5,16.4287,0,0,0,0,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image6.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif10.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video1.mp4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,69.3144,79.3105,79.3112,87.5077,8,2.9377,2,8.1869,0,1,1,1,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image9.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NEUTRES/Dist.animee.neutre3.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NÉGATIFS/Dist.fix.negatif3.mp4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,87.508,97.5077,97.5082,106.5334,1,3.8693,9,9.0235,0,2,2,2,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image3.mp4,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video2.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NÉGATIFS/Dist.fix.negatif5.mp4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,106.5338,116.5255,116.5258,122.8505,4,2.6181,6,6.3231,0,3,3,3,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image4.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image6.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,122.851,132.8415,132.8418,137.3818,1,2.035,8,4.5387,0,4,4,4,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image10.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image2.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,137.3821,147.373,147.3732,155.65,8,5.0874,1,8.2758,0,5,5,5,1,IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video10.mp4,DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre7.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,155.6503,165.6424,165.6429,173.9359,4,4.2209,6,8.2897,0,6,6,6,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video4.mp4,DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif4.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,173.9366,183.9343,183.9351,190.3483,9,3.7757,1,6.4052,0,7,7,7,1,IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image10.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image2.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P022,001,2025-04-02_16h13.53.559,Emotion.Memoire.2024,2024.1.5,Win32,59.17159763,190.3493,200.3479,200.3487,204.6284,1,1.6381,8,4.2708,0,8,8,8,1,IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video1.mp4,IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image9.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
