"","Consigne.started","Consigne.stopped","Key_resp1.keys","Key_resp1.rt","Key_resp1.duration","participant","session","date","expName","psychopyVersion","OS","frameRate","IMAGES.started","IMAGES.stopped","SAM.started","SAM.stopped","Plaisir.response","Plaisir.rt","EVEIL.response","EVEIL.rt","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","ImageFile","ImagesDistracteursFile","Test","Calcul.started","Calcul.stopped","Key_response.keys","Key_response.rt","Key_response.duration","Consigne_reco.started","Consigne_reco.stopped","key_resp_reconn.keys","key_resp_reconn.rt","key_resp_reconn.duration","DISTRACTEURS.started","DISTRACTEURS.stopped","mouse.x","mouse.y","mouse.leftButton","mouse.midButton","mouse.rightButton","mouse.time","mouse.clicked_name","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","MERCI.started","MERCI.stopped","condition"
"1",NA,NA,"",NA,NA,"452363",1,"2024-12-27_15h02.45.941","Emotion.Memoire.2024","2024.1.5","MacIntel",30.3030303,107.857,117.861,117.869,160.095,5,28.309,4,42.207,0,0,0,0,1,"IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image6.mp4","DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif10.mp4","IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video1.mp4",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Fixed"
"2",NA,NA,"",NA,NA,"452363",1,"2024-12-27_15h02.45.941","Emotion.Memoire.2024","2024.1.5","MacIntel",30.3030303,160.1,170.093,170.094,183.76,8,7.017,3,13.642,0,1,1,1,1,"IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image9.mp4","DISTRACTEURS-40/DIST.ANIMÉES-20/10.NEUTRES/Dist.animee.neutre3.mp4","DISTRACTEURS-40/DIST.FIXES-20/10.NÉGATIFS/Dist.fix.negatif3.mp4",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Fixed"
"3",NA,NA,"",NA,NA,"452363",1,"2024-12-27_15h02.45.941","Emotion.Memoire.2024","2024.1.5","MacIntel",30.3030303,183.761,193.759,193.76,206.393,5,6.349,4,12.619,0,2,2,2,1,"IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image6.mp4","IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video2.mp4","DISTRACTEURS-40/DIST.FIXES-20/10.NÉGATIFS/Dist.fix.negatif5.mp4",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Fixed"
"4",NA,NA,"",NA,NA,"452363",1,"2024-12-27_15h02.45.941","Emotion.Memoire.2024","2024.1.5","MacIntel",30.3030303,206.394,206.467,206.468,227.393,5,20.31,5,20.908,0,3,3,3,1,"IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image4.mp4","IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image6.mp4","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Fixed"
"5",NA,NA,"",NA,NA,"452363",1,"2024-12-27_15h02.45.941","Emotion.Memoire.2024","2024.1.5","MacIntel",30.3030303,227.393,237.392,237.393,248.859,4,7.24,3,11.455,0,4,4,4,1,"IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image10.mp4","IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image2.mp4","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Fixed"
"6",NA,NA,"",NA,NA,"452363",1,"2024-12-27_15h02.45.941","Emotion.Memoire.2024","2024.1.5","MacIntel",30.3030303,248.859,258.859,258.86,274.226,8,4.856,3,15.351,0,5,5,5,1,"IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video10.mp4","DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre7.mp4","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Animated"
"7",NA,NA,"",NA,NA,"452363",1,"2024-12-27_15h02.45.941","Emotion.Memoire.2024","2024.1.5","MacIntel",30.3030303,274.226,279.858,279.859,293.124,1,6.308,6,13.251,0,6,6,6,1,"IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video4.mp4","DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif4.mp4","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Animated"
"8",NA,NA,"",NA,NA,"452363",1,"2024-12-27_15h02.45.941","Emotion.Memoire.2024","2024.1.5","MacIntel",30.3030303,293.125,303.125,303.125,314.859,7,6.38,4,11.719,0,7,7,7,1,"IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image10.mp4","IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image2.mp4","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Fixed"
"9",NA,NA,"",NA,NA,"452363",1,"2024-12-27_15h02.45.941","Emotion.Memoire.2024","2024.1.5","MacIntel",30.3030303,314.86,324.86,324.86,329.758,1,2.087,7,4.886,0,8,8,8,1,"IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video1.mp4","IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image9.mp4","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Animated"
"10",NA,NA,"",NA,NA,"452363",1,"2024-12-27_15h02.45.941","Emotion.Memoire.2024","2024.1.5","MacIntel",30.3030303,329.758,339.758,339.759,345.458,3,2.922,5,5.684,0,9,9,9,1,"IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image4.mp4","DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre8.mp4","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Fixed"
"11",NA,NA,"",NA,NA,"452363",1,"2024-12-27_15h02.45.941","Emotion.Memoire.2024","2024.1.5","MacIntel",30.3030303,345.459,355.458,355.459,364.89,5,4.418,4,9.418,0,10,10,10,1,"IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video6.mp4","DISTRACTEURS-40/DIST.ANIMÉES-20/10.NÉGATIFS/Dist.animee.negatif8.mp4","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Animated"
