"","Consigne.started","Consigne.stopped","Key_resp1.keys","Key_resp1.rt","Key_resp1.duration","participant","session","date","expName","psychopyVersion","OS","frameRate","IMAGES.started","IMAGES.stopped","SAM.started","SAM.stopped","Plaisir.response","Plaisir.rt","EVEIL.response","EVEIL.rt","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","ImageFile","ImagesDistracteursFile","Test","Calcul.started","Calcul.stopped","Key_response.keys","Key_response.rt","Key_response.duration","Consigne_reco.started","Consigne_reco.stopped","key_resp_reconn.keys","key_resp_reconn.rt","key_resp_reconn.duration","DISTRACTEURS.started","DISTRACTEURS.stopped","mouse.x","mouse.y","mouse.leftButton","mouse.midButton","mouse.rightButton","mouse.time","mouse.clicked_name","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","MERCI.started","MERCI.stopped","condition","is_distractor","correct"
"1",NA,NA,"",NA,NA,"452363",1,"2024-12-27_15h02.45.941","Emotion.Memoire.2024","2024.1.5","MacIntel",30.3030303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image6.mp4","IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video2.mp4","DISTRACTEURS-40/DIST.FIXES-20/10.NÉGATIFS/Dist.fix.negatif5.mp4",NA,NA,"",NA,NA,NA,NA,"",NA,NA,1935.403,1937.269,0.457777778,-0.287777778,1,0,0,1.856,"Vrai",0,2,2,2,1,NA,NA,"Animated",FALSE,1
"2",NA,NA,"",NA,NA,"452363",1,"2024-12-27_15h02.45.941","Emotion.Memoire.2024","2024.1.5","MacIntel",30.3030303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image4.mp4","IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image6.mp4","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,1937.271,1938.536,0.448888889,-0.268888889,1,0,0,1.259,"Vrai",0,3,3,3,1,NA,NA,"Fixed",FALSE,1
"3",NA,NA,"",NA,NA,"452363",1,"2024-12-27_15h02.45.941","Emotion.Memoire.2024","2024.1.5","MacIntel",30.3030303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image10.mp4","IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image2.mp4","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,1938.538,1939.503,0.451111111,-0.271111111,1,0,0,0.959,"Vrai",0,4,4,4,1,NA,NA,"Fixed",FALSE,1
"4",NA,NA,"",NA,NA,"452363",1,"2024-12-27_15h02.45.941","Emotion.Memoire.2024","2024.1.5","MacIntel",30.3030303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video10.mp4","DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre7.mp4","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,1939.505,1941.887,-0.498888889,-0.295555556,1,0,0,2.375,"Faux",0,5,5,5,1,NA,NA,"Fixed",TRUE,1
"5",NA,NA,"",NA,NA,"452363",1,"2024-12-27_15h02.45.941","Emotion.Memoire.2024","2024.1.5","MacIntel",30.3030303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image10.mp4","IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image2.mp4","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,1945.303,1946.888,0.445555556,-0.278888889,1,0,0,1.573,"Vrai",0,7,7,7,1,NA,NA,"Fixed",FALSE,1
"6",NA,NA,"",NA,NA,"452363",1,"2024-12-27_15h02.45.941","Emotion.Memoire.2024","2024.1.5","MacIntel",30.3030303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video1.mp4","IMAGES_EXP_mp4_40/FIXES/FIX-NEGATIF-mp4/Image9.mp4","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,1946.889,1949.253,0.465555556,-0.28,1,0,0,2.358,"Vrai",0,8,8,8,1,NA,NA,"Fixed",FALSE,1
"7",NA,NA,"",NA,NA,"452363",1,"2024-12-27_15h02.45.941","Emotion.Memoire.2024","2024.1.5","MacIntel",30.3030303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image4.mp4","DISTRACTEURS-40/DIST.FIXES-20/10.NEUTRES /Dist.fix.neutre8.mp4","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,1949.253,1951.601,-0.498888889,-0.302222222,1,0,0,2.33,"Faux",0,9,9,9,1,NA,NA,"Fixed",TRUE,1
"8",NA,NA,"",NA,NA,"452363",1,"2024-12-27_15h02.45.941","Emotion.Memoire.2024","2024.1.5","MacIntel",30.3030303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video9.mp4","IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video8.mp4","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,1953.92,1955.318,0.49,-0.29,1,0,0,1.391,"Vrai",0,11,11,11,1,NA,NA,"Animated",FALSE,1
"9",NA,NA,"",NA,NA,"452363",1,"2024-12-27_15h02.45.941","Emotion.Memoire.2024","2024.1.5","MacIntel",30.3030303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IMAGES_EXP_mp4_40/FIXES/FIX-NEUTRE-mp4/image8.mp4","IMAGES_EXP_mp4_40/ANIMEES/10- ANIMEES --NEGATIVES /Video8.mp4","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,1955.319,1956.387,0.491111111,-0.29,1,0,0,1.06,"Vrai",0,12,12,12,1,NA,NA,"Animated",FALSE,1
"10",NA,NA,"",NA,NA,"452363",1,"2024-12-27_15h02.45.941","Emotion.Memoire.2024","2024.1.5","MacIntel",30.3030303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IMAGES_EXP_mp4_40/ANIMEES/11-ANIMEES --- NEUTRES /video5.mp4","DISTRACTEURS-40/DIST.FIXES-20/10.NÉGATIFS/Dist.fix.negatif8.mp4","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,1956.387,1961.887,-0.46,-0.27,1,0,0,5.491,"Faux",0,13,13,13,1,NA,NA,"Fixed",TRUE,1
